,Name,Gender,National_Count,National_Rank,City_Count,City_Rank,State_Count,State_Rank
0,Emma,F,20936,1.0,491,43,1211,7.0
1,Olivia,F,19807,2.0,537,26,1255,5.0
2,Sophia,F,18609,4.0,578,28,1274,3.0
3,Isabella,F,17089,7.0,553,33,1164,8.0
4,Ava,F,15696,11.0,338,51,928,18.0
5,Mia,F,13512,19.0,522,26,990,16.0
6,Emily,F,12647,23.0,442,35,881,25.0
7,Abigail,F,12085,28.0,300,56,727,30.0
8,Madison,F,10320,39.0,316,76,726,31.0
9,Charlotte,F,10115,40.0,206,123,628,39.0
10,Harper,F,9608,42.0,41,55,332,106.0
11,Sofia,F,9597,43.0,340,91,631,38.0
12,Avery,F,9568,44.0,136,148,490,58.0
13,Elizabeth,F,9564,45.0,186,121,440,69.0
14,Amelia,F,8795,55.0,188,110,530,51.0
15,Evelyn,F,8747,56.5,122,111,383,87.0
16,Ella,F,8553,58.0,182,131,562,46.0
17,Chloe,F,8538,59.0,328,64,616,43.0
18,Victoria,F,7996,64.0,286,81,521,55.0
19,Grace,F,7641,67.0,211,108,548,48.0
20,Aubrey,F,7623,68.0,66,71,308,118.0
21,Zoey,F,7411,71.0,116,164,300,124.0
22,Natalie,F,7105,75.0,88,141,377,91.0
23,Addison,F,6988,78.0,22,74,251,152.5
24,Lillian,F,6913,79.0,75,205,288,131.0
25,Brooklyn,F,6816,82.0,14,37,138,290.0
26,Lily,F,6773,83.0,121,124,384,84.5
27,Hannah,F,6585,89.0,134,150,339,103.0
28,Layla,F,6453,93.0,144,144,345,99.5
29,Scarlett,F,6005,99.0,139,111,323,113.0
30,Aria,F,5923,100.0,118,162,317,114.0
31,Zoe,F,5877,102.0,240,86,390,81.0
32,Samantha,F,5726,105.0,180,130,427,71.0
33,Anna,F,5689,107.0,150,101,341,102.0
34,Leah,F,5604,109.0,367,60,626,40.0
35,Audrey,F,5563,110.0,81,148,215,181.5
36,Ariana,F,5495,112.0,189,119,398,80.0
37,Savannah,F,5473,114.0,121,121,334,104.5
38,Allison,F,5472,115.0,132,130,325,111.0
39,Arianna,F,5267,119.0,166,140,368,93.0
40,Camila,F,5218,121.0,203,91,310,117.0
41,Gabriella,F,5098,124.0,217,104,547,49.0
42,Penelope,F,5084,125.0,146,147,301,123.0
43,Claire,F,5014,126.0,92,62,229,169.0
44,Aaliyah,F,4883,130.0,122,40,246,157.5
45,Sadie,F,4860,131.0,43,53,200,195.5
46,Riley,F,4794,134.0,76,204,273,137.0
47,Skylar,F,4770,136.0,105,142,275,136.0
48,Nora,F,4738,138.0,70,32,252,150.5
49,Sarah,F,4703,140.0,281,98,481,60.0
50,Hailey,F,4615,142.0,158,149,345,99.5
51,Kaylee,F,4539,143.0,133,167,249,155.5
