"brth_yr","gndr","nm","Count","Rank"
2014,"FEMALE","Zara","51","50"
2014,"FEMALE","Madelyn","50","179"
2014,"MALE","Asher","100","158"
2014,"FEMALE","Josephine","39","57"
2014,"MALE","Malik","27","45"
2014,"FEMALE","Nechama","30","66"
2014,"FEMALE","Imani","24","27"
2014,"MALE","Binyomin","11","101"
2014,"MALE","Miles","102","258"
2014,"FEMALE","Shifra","21","75"
2014,"MALE","Sam","32","80"
2014,"MALE","Brady","13","99"
2014,"MALE","Karas","10","102"
2014,"MALE","Yandel","15","93"
2014,"FEMALE","Molly","27","69"
2014,"MALE","Cayden","29","43"
2014,"MALE","Moussa","16","54"
2014,"MALE","Diego","62","52"
2014,"FEMALE","Alessandra","30","149"
2014,"FEMALE","Savannah","121","121"
2014,"MALE","Shmuel","57","57"
2014,"FEMALE","Aleena","17","33"
2014,"MALE","Darren","25","113"
2014,"FEMALE","Golda","18","78"
2014,"FEMALE","Jordan","13","38"
2014,"MALE","Daniel","569","47"
2014,"FEMALE","Tess","11","85"
2014,"MALE","Kareem","30","152"
2014,"MALE","Thomas","176","215"
2014,"FEMALE","Leila","33","146"
2014,"MALE","Meir","66","51"
2014,"MALE","Wyatt","43","139"
2014,"MALE","Dennis","10","98"
2014,"FEMALE","Faigy","74","30"
2014,"FEMALE","Liana","27","152"
2014,"MALE","Lincoln","11","101"
2014,"FEMALE","Shaindel","15","81"
2014,"FEMALE","Jana","10","86"
2014,"MALE","Nathaniel","171","195"
2014,"FEMALE","Maia","14","69"
2014,"MALE","Zahir","14","56"
2014,"FEMALE","Jordyn","32","115"
2014,"FEMALE","Erin","21","125"
2014,"FEMALE","Avigail","12","84"
2014,"FEMALE","Emilia","75","107"
2014,"FEMALE","Makayla","56","80"
2014,"FEMALE","Sofia","340","91"
2014,"FEMALE","Oumou","13","38"
2014,"MALE","Leandro","11","97"
2014,"MALE","Hayden","26","154"
2014,"MALE","Dominic","74","216"
2014,"MALE","Hudson","89","201"
2014,"FEMALE","Lesly","15","68"
2014,"MALE","Messiah","66","117"
2014,"MALE","Jerry","15","53"
2014,"MALE","Santino","14","98"
2014,"MALE","Lorenzo","47","243"
2014,"MALE","Yousef","18","94"
2014,"FEMALE","Bryanna","12","71"
2014,"FEMALE","Adrianna","39","191"
2014,"FEMALE","Jennifer","51","82"
2014,"FEMALE","Ellie","57","89"
2014,"MALE","Marcelo","12","96"
2014,"MALE","Shraga","10","102"
2014,"MALE","Wesley","29","151"
2014,"FEMALE","Jada","18","33"
2014,"FEMALE","Nylah","49","85"
2014,"MALE","Santiago","59","54"
2014,"MALE","Syed","20","48"
2014,"MALE","Hunter","128","233"
2014,"FEMALE","Hadassah","13","83"
2014,"MALE","Mamadou","23","47"
2014,"MALE","Jayce","68","112"
2014,"FEMALE","Michaela","13","83"
2014,"FEMALE","Alyssa","113","167"
2014,"MALE","Naftuli","17","95"
2014,"FEMALE","Blake","11","85"
2014,"FEMALE","Nora","70","32"
2014,"FEMALE","Alisa","24","122"
2014,"MALE","Moses","26","86"
2014,"MALE","Brayden","40","248"
2014,"FEMALE","Wynter","12","39"
2014,"MALE","Tzvi","49","65"
2014,"MALE","Dominick","30","190"
2014,"MALE","Wilson","11","57"
2014,"MALE","Brandon","240","166"
2014,"FEMALE","Jayda","13","38"
2014,"FEMALE","Eloise","42","54"
2014,"FEMALE","Evangeline","22","157"
2014,"FEMALE","Milan","26","25"
2014,"FEMALE","Hawa","14","37"
2014,"FEMALE","Keila","10","73"
2014,"FEMALE","Celeste","12","71"
2014,"FEMALE","Catalina","19","64"
2014,"FEMALE","Rifky","11","85"
2014,"MALE","Saul","16","92"
